Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,type
2019-08-07,,,,7.33,200.0,-1.0,PUT
2019-08-12,,,,2.24,250.0,-1.0,CALL
2019-08-15,,,,4.54,200.0,-1.0,CALL
2019-09-03,,,,4.27,75.0,-1.0,PUT
2019-09-06,,,,3.95,75.0,-1.0,PUT
2019-09-24,,,,5.96,150.0,-1.0,PUT
2019-09-26,,,,3.53,200.0,-1.0,PUT
