Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,type
2019-07-29,,,,2.78,100.0,-1.0,PUT
2019-08-01,,,,4.16,100.0,-1.0,PUT
2019-08-12,,,,2.33,100.0,-1.0,PUT
2019-08-15,,,,3.36,200.0,-1.0,PUT
2019-08-19,,,,2.66,200.0,-1.0,PUT
2019-08-21,,,,2.57,200.0,-1.0,PUT
2019-09-11,,,,4.13,150.0,-1.0,CALL
2019-09-25,,,,0.96,200.0,-1.0,PUT
2019-09-27,,,,2.12,100.0,-1.0,PUT
2019-10-09,,,,2.59,300.0,-1.0,PUT
2019-10-09,,,,4.46,300.0,-1.0,PUT
